lng, lat
42.901209, -88.008148
42.797388, -71.085463
42.720122, -71.166214
42.858452, -70.917904
42.729824, -71.133237
43.152822, -70.840079
43.071345, -70.713665
43.125568, -70.780091
43.041089, -71.073201
42.700493, -71.134105
42.781143, -71.219512
42.779525, -71.129836
43.146393, -70.675869
43.134592, -70.701675
42.712845, -71.166012
43.028693, -87.904135
43.039938, -87.906282
42.883381, -87.920621
43.066244, -87.999584
42.987472, -87.874895
42.884056, -87.921682
43.079209, -87.9773
42.937764, -87.995186
43.046438, -87.950155
43.066387, -87.888054
43.066763, -87.998864
43.042255, -88.103503
42.951833, -87.931196
42.887964, -87.922332
43.169477, -87.966321
42.90555, -88.03674
43.003962, -88.01013
43.002335, -87.985827
43.098693, -88.0393
43.121173, -87.915945
43.125443, -87.925974
42.96255, -88.22127
42.931477, -88.016759
43.085881, -87.88225
43.179353, -87.991905
43.092444, -88.001885
43.051169, -87.942126
43.07811, -87.943091
43.079256, -87.973735
42.962697, -88.221463
43.028116, -87.995547
43.169573, -87.965726
43.149896, -88.077209
42.962286, -88.220123
43.162695, -87.888462
43.178482, -87.991678
43.001658, -88.002815
42.693783, -87.889049
43.212788, -87.918027
43.145314, -87.960115
43.125637, -87.924952
43.041708, -87.931087
43.042234, -88.101755
43.042398, -87.902266
43.074223, -87.883876
43.090464, -88.023544
42.961782, -88.219905
43.141329, -87.964911
42.861581, -87.930744
43.014501, -88.10728
43.029806, -87.910552
43.095488, -88.098466
43.044372, -87.914344
42.712924, -87.807563
42.937496, -87.986853
42.82716, -88.160097
43.04185, -87.93005
43.126046, -87.952438
43.054005, -88.217653
42.719401, -87.788915
43.217046, -87.923213
43.187069, -87.96094
43.089087, -88.09628
44.281007, -88.436499
32.874858, -82.394426
42.456579, -96.360765
32.772642, -97.720174
32.88403, -97.447449
32.763898, -97.48754
32.736448, -97.466774
32.740406, -97.816106
32.729323, -97.477851
32.726739, -97.473692
32.762599, -97.489764
41.214197, -84.431655
44.280441, -88.437249
42.515426, -96.356853
37.281639, -79.971531
38.444574, -82.618585
32.936552, -97.404434
42.456793, -96.361877
32.708475, -97.608867
37.271403, -79.941326
32.741895, -97.507791
33.011987, -97.488147
32.864261, -97.381122
37.26773, -79.95193
32.71943, -97.452692
37.269605, -79.973138
37.296512, -79.929131
41.697777, -88.229764
41.576718, -88.241482
41.53722, -88.190518
41.53723, -88.192209
41.675928, -88.20409
41.562611, -88.171811
41.536671, -88.190474
41.61277, -88.229618
41.661137, -88.338692
41.577747, -88.171522
41.706908, -88.207468
41.536842, -88.108803
41.767977, -88.182121
41.748732, -88.294616
41.748564, -88.253489
41.648197, -88.175265
41.557131, -88.113075
41.616331, -88.227436
41.525722, -88.199894
41.519499, -88.148524
41.782519, -88.33339
41.794433, -88.188366
41.64077, -88.2416
41.701455, -88.213375
41.743923, -88.244961
41.726123, -88.262624
41.79559, -88.275912
41.708545, -88.086155
41.716695, -88.255016
41.757905, -88.187671
